X,Y,FID,Ano,Codregion,Region,Comuna,Zona,Calle1,Calle2,Numero,lat,lng,Claseaccid,Cód_Comun,Cód_Zona,Zona_1,Cód_Ubica,Ubicación,Cód_Calle,Intersecci,Pistas_de_,Pistas_de1,Cód_Calza,Calzada,Cód__Tipo,Tipo_Calza,Fallecidos,Graves,Menos_Grav,Leves,Accidentes
-7881082.31614819,-3964532.02595826,1,2019,13,REGION METROPOLITANA,MAIPU,URBANA,EL CONQUISTADOR,PORTALES,NULL,-33.520012,-70.796967,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131190869,EL CONQUISTADOR - PORTALES,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,0,1
-7880869.13932332,-3963068.14228723,2,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LA GALAXIA,JOSE MANUEL BORGONO,NULL,-33.509048,-70.795052,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131191627,JOSE MANUEL BORGONO - LA GALAXIA,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,0,1,0,1
-7880790.99304079,-3964591.5786009,3,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LA GALAXIA,CAMPANARIO,NULL,-33.520458,-70.79435,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131191627,CAMPANARIO - LA GALAXIA,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,1,0,0,1
-7880669.54347633,-3964125.58069529,4,2019,13,REGION METROPOLITANA,MAIPU,URBANA,SENECA,NULL,1589,-33.516968,-70.793259,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131192904,- SENECA,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,1,0,0,1
-7880509.80000704,-3965183.51651758,5,2019,13,REGION METROPOLITANA,MAIPU,URBANA,4 PONIENTE,NVA SAN MARTIN,NULL,-33.524891,-70.791824,1,13119,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131190024,4 PONIENTE - NVA SAN MARTIN,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,1,0,1,1
-7880395.14093153,-3963625.42162654,6,2019,13,REGION METROPOLITANA,MAIPU,URBANA,AGUA SANTA,4 PONIENTE,NULL,-33.513222,-70.790794,1,13119,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131190053,4 PONIENTE - AGUA SANTA,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,1,0,0,1
-7880373.99022828,-3964155.08888762,7,2019,13,REGION METROPOLITANA,MAIPU,URBANA,SAN JOSE,NULL,2357,-33.517189,-70.790604,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131192874,- SAN JOSE,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7880347.60750896,-3962895.51664666,8,2019,13,REGION METROPOLITANA,MAIPU,URBANA,4 PONIENTE,VICARIA,NULL,-33.507755,-70.790367,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131190024,4 PONIENTE - VICARIA,2,0,1,UNIDIRECCIONAL,1,CONCRETO,0,0,0,1,1
-7880328.9058345,-3969549.81248222,9,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LAGO BOLSENA,PARQUE CENTRAL ORIENTE,NULL,-33.557583,-70.790199,1,13119,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131191688,LAGO BOLSENA - PARQUE CENTRAL ORIENTE,2,2,2,BIDIRECCIONAL,1,CONCRETO,0,0,0,0,1
-7880087.78781744,-3966819.81588595,10,2019,13,REGION METROPOLITANA,MAIPU,URBANA,4 PONIENTE,PDTE GABRIEL GONZALEZ VIDELA,NULL,-33.537144,-70.788033,1,13119,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131190024,4 PONIENTE - PDTE GABRIEL GONZALEZ VIDELA,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,0,0,1,1
-7879886.4108586,-3967032.70008379,11,2019,13,REGION METROPOLITANA,MAIPU,URBANA,4 PONIENTE,PDTE JOSE MANUEL BALMACEDA,NULL,-33.538738,-70.786224,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131190024,4 PONIENTE - PDTE JOSE MANUEL BALMACEDA,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7879866.03939179,-3964306.36962771,12,2019,13,REGION METROPOLITANA,MAIPU,URBANA,PORTALES,LAS NACIONES,NULL,-33.518322,-70.786041,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131192605,LAS NACIONES - PORTALES,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,1,0,0,1
-7879686.03577517,-3962759.60747755,13,2019,13,REGION METROPOLITANA,MAIPU,URBANA,CAMINO A RINCONADA,CASAS DE LOS ESPEJOS,NULL,-33.506737,-70.784424,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131190394,CAMINO A RINCONADA - CASAS DE LOS ESPEJOS,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,1,0,2,1
-7879602.76879606,-3955493.86426446,14,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,CAMINO PEDRO JORQUERA,SAN PEDRO,NULL,-33.452297,-70.783676,1,13124,1,URBANA,14,CRUCE CON SEÑAL PARE,131240154,CAMINO PEDRO JORQUERA - SAN PEDRO,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,1,0,0,1
-7879591.74816647,-3966791.76995429,15,2019,13,REGION METROPOLITANA,MAIPU,URBANA,PDTE JOSE MANUEL BALMACEDA,LLUTA,NULL,-33.536934,-70.783577,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131192511,LLUTA - PDTE JOSE MANUEL BALMACEDA,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,1,0,0,1
-7879531.41300246,-3964126.51534276,16,2019,13,REGION METROPOLITANA,MAIPU,URBANA,SAN JOSE,HUITICALAN,NULL,-33.516975,-70.783035,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131192874,HUITICALAN - SAN JOSE,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,0,1
-7879520.39237287,-3962831.43353865,17,2019,13,REGION METROPOLITANA,MAIPU,URBANA,CAP AVALOS,CAMINO A RINCONADA,NULL,-33.507275,-70.782936,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131190430,CAMINO A RINCONADA - CAP AVALOS,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,1,0,1
-7879438.90650561,-3965339.88506209,18,2019,13,REGION METROPOLITANA,MAIPU,URBANA,RAMON BARROS LUCO,GERMAN GARCES,NULL,-33.526062,-70.782204,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131192714,GERMAN GARCES - RAMON BARROS LUCO,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7879371.78085266,-3967883.60831411,19,2019,13,REGION METROPOLITANA,MAIPU,URBANA,CAMINO A MELIPILLA,NULL,17050,-33.545109,-70.781601,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131190392,- CAMINO A MELIPILLA,3,3,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,1,0,0,1
-7879237.64086625,-3965337.88203576,20,2019,13,REGION METROPOLITANA,MAIPU,URBANA,GERMAN GARCES,PDTE GABRIEL GONZALEZ VIDELA,NULL,-33.526047,-70.780396,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131191229,GERMAN GARCES - PDTE GABRIEL GONZALEZ VIDELA,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,0,1
-7879116.97053823,-3964759.68962341,21,2019,13,REGION METROPOLITANA,MAIPU,URBANA,SUR,3 PONIENTE,NULL,-33.521717,-70.779312,1,13119,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131192995,3 PONIENTE - SUR,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,1,0,1,2
-7879107.61970101,-3964294.0855043,22,2019,13,REGION METROPOLITANA,MAIPU,URBANA,3 PONIENTE,PORTALES,NULL,-33.51823,-70.779228,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131190018,3 PONIENTE - PORTALES,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,0,1
-7879105.94990864,-3963922.89750182,23,2019,13,REGION METROPOLITANA,MAIPU,URBANA,3 PONIENTE,LAS TINAJAS,NULL,-33.51545,-70.779213,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131190018,3 PONIENTE - LAS TINAJAS,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,0,0,1,1
-7879025.24327783,-3967479.58269448,24,2019,13,REGION METROPOLITANA,MAIPU,URBANA,CAMINO A MELIPILLA,EGIPTO,NULL,-33.542084,-70.778488,1,13119,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131190392,CAMINO A MELIPILLA - EGIPTO,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,0,1,1,1
-7878988.28520688,-3962699.3967555,25,2019,13,REGION METROPOLITANA,MAIPU,URBANA,3 PONIENTE,MAIPU,NULL,-33.506286,-70.778156,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131190018,3 PONIENTE - MAIPU,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,0,0,1,1
-7878974.25895104,-3963062.66842608,26,2019,13,REGION METROPOLITANA,MAIPU,URBANA,3 PONIENTE,CAMINO A RINCONADA,NULL,-33.509007,-70.77803,1,13119,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131190018,3 PONIENTE - CAMINO A RINCONADA,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,1,0,3,4
-7878959.89873673,-3963461.86656569,27,2019,13,REGION METROPOLITANA,MAIPU,URBANA,3 PONIENTE,JOSE MANUEL BORGONO,NULL,-33.511997,-70.777901,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131190018,3 PONIENTE - JOSE MANUEL BORGONO,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7878863.94133567,-3960642.14082658,28,2019,13,REGION METROPOLITANA,MAIPU,URBANA,ING EDUARDO DOMINGUEZ,EL ROSAL,NULL,-33.490875,-70.777039,1,13119,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131191384,EL ROSAL - ING EDUARDO DOMINGUEZ,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7878841.788757,-3966917.04230985,29,2019,13,REGION METROPOLITANA,MAIPU,URBANA,GLORIAS NAVALES,FERMIN VIVACETA,NULL,-33.537872,-70.77684,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131191240,FERMIN VIVACETA - GLORIAS NAVALES,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7878770.4329634,-3964278.86389123,30,2019,13,REGION METROPOLITANA,MAIPU,URBANA,PORTALES,NULL,1341,-33.518116,-70.776199,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131192605,- PORTALES,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7878749.28226015,-3960441.52090302,31,2019,13,REGION METROPOLITANA,MAIPU,URBANA,ANIQUE,ANTAMO,NULL,-33.489372,-70.776009,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131190148,ANIQUE - ANTAMO,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,0,0,1,1
-7878699.0771698,-3963089.10319414,32,2019,13,REGION METROPOLITANA,MAIPU,URBANA,CAMINO A RINCONADA,EL OLIMPO,NULL,-33.509205,-70.775558,1,13119,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131190394,CAMINO A RINCONADA - EL OLIMPO,3,3,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,0,1,0,1
-7878692.28668086,-3963453.72225176,33,2019,13,REGION METROPOLITANA,MAIPU,URBANA,EL OLIMPO,JOSE MANUEL BORGONO,NULL,-33.511936,-70.775497,1,13119,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131190950,EL OLIMPO - JOSE MANUEL BORGONO,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,0,0,1,1
-7878685.49619192,-3963903.00322984,34,2019,13,REGION METROPOLITANA,MAIPU,URBANA,EL OLIMPO,LAS TINAJAS,NULL,-33.515301,-70.775436,1,13119,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131190950,EL OLIMPO - LAS TINAJAS,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,0,1
-7878649.87395487,-3966295.10114678,35,2019,13,REGION METROPOLITANA,MAIPU,URBANA,RENE OLIVARES BECERRA,HERNAN OLGUIN,NULL,-33.533215,-70.775116,1,13119,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131192755,HERNAN OLGUIN - RENE OLIVARES BECERRA,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7878539.44502,-3962957.19697382,36,2019,13,REGION METROPOLITANA,MAIPU,URBANA,CAMINO A RINCONADA,NULL,1201,-33.508217,-70.774124,1,13119,1,URBANA,26,OTROS NO CONSIDERADOS,131190394,- CAMINO A RINCONADA,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,0,0,3,3
-7878424.78594449,-3966969.52889275,37,2019,13,REGION METROPOLITANA,MAIPU,URBANA,CAMINO A MELIPILLA,JUDEA,NULL,-33.538265,-70.773094,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131190392,CAMINO A MELIPILLA - JUDEA,2,2,2,BIDIRECCIONAL,1,CONCRETO,0,0,0,1,1
-7878375.58272955,-3965891.13111592,38,2019,13,REGION METROPOLITANA,MAIPU,URBANA,EL OLIMPO,ALFREDO SILVA CARVALLO,NULL,-33.53019,-70.772652,1,13119,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131190950,ALFREDO SILVA CARVALLO - EL OLIMPO,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,1,0,0,1
-7878272.83483955,-3967325.72277172,39,2019,13,REGION METROPOLITANA,MAIPU,URBANA,JACQUES COSTEAU,TRITON,NULL,-33.540932,-70.771729,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131191450,JACQUES COSTEAU - TRITON,2,0,1,UNIDIRECCIONAL,1,CONCRETO,0,0,0,2,1
-7878121.55165156,-3966629.77264435,40,2019,13,REGION METROPOLITANA,MAIPU,URBANA,FERROCARRIL,3 PONIENTE,NULL,-33.535721,-70.77037,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131191137,3 PONIENTE - FERROCARRIL,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7878059.65801468,-3966701.6227783,41,2019,13,REGION METROPOLITANA,MAIPU,URBANA,CAMINO A MELIPILLA,3 PONIENTE,NULL,-33.536259,-70.769814,1,13119,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131190392,3 PONIENTE - CAMINO A MELIPILLA,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,1,0,0,1
-7878027.37536235,-3960642.67474985,42,2019,13,REGION METROPOLITANA,MAIPU,URBANA,CAMINO LA FARFANA,LA SINFONIA,NULL,-33.490879,-70.769524,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131190408,CAMINO LA FARFANA - LA SINFONIA,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,0,0,1,2
-7877992.53236173,-3963051.85422022,43,2019,13,REGION METROPOLITANA,MAIPU,URBANA,CAMINO A RINCONADA,DE LA VICTORIA,NULL,-33.508926,-70.769211,1,13119,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131190394,CAMINO A RINCONADA - DE LA VICTORIA,3,3,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,0,0,2,2
-7877746.18232861,-3965618.57618063,44,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LOS DIAMANTES,ALFREDO SILVA CARVALLO,NULL,-33.528149,-70.766998,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131191963,ALFREDO SILVA CARVALLO - LOS DIAMANTES,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,1,2
-7877733.49190666,-3956012.48489088,45,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,AMERICO VESPUCIO,SERRANO,NULL,-33.456184,-70.766884,1,13124,1,URBANA,1,TRAMO DE VIA RECTA,131240039,AMERICO VESPUCIO - SERRANO,5,5,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7877732.60135073,-3953057.17884676,46,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,SERRANO,DIAG LAS BARRANCAS,NULL,-33.434032,-70.766876,1,13124,1,URBANA,1,TRAMO DE VIA RECTA,131241250,DIAG LAS BARRANCAS - SERRANO,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,1,0,0,1
-7877635.75339374,-3956111.22157804,47,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,PAPA SAN JUAN,AMERICO VESPUCIO,NULL,-33.456924,-70.766006,1,13124,1,URBANA,14,CRUCE CON SEÑAL PARE,131241002,AMERICO VESPUCIO - PAPA SAN JUAN,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7877629.85346073,-3964682.24341548,48,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LA FORTUNA,SUR,NULL,-33.521137,-70.765953,1,13119,1,URBANA,26,OTROS NO CONSIDERADOS,131191625,LA FORTUNA - SUR,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,0,0,1,1
-7877555.93731885,-3952530.55400843,49,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,SERRANO,EL CARMEN,NULL,-33.430084,-70.765289,1,13124,1,URBANA,1,TRAMO DE VIA RECTA,131241250,EL CARMEN - SERRANO,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7877494.8229184,-3952367.28916637,50,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,SAN DANIEL,NAVIDAD,NULL,-33.42886,-70.76474,1,13124,1,URBANA,1,TRAMO DE VIA RECTA,131241214,NAVIDAD - SAN DANIEL,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7877477.01179987,-3956380.48347496,51,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,SAN FRANCISCO,DIAG LAS BARRANCAS,NULL,-33.458942,-70.76458,1,13124,1,URBANA,1,TRAMO DE VIA RECTA,131241215,DIAG LAS BARRANCAS - SAN FRANCISCO,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7877369.92244972,-3963188.4343784,52,2019,13,REGION METROPOLITANA,MAIPU,URBANA,EMILIANO LLONA,CAMINO A RINCONADA,NULL,-33.509949,-70.763618,1,13119,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131191013,CAMINO A RINCONADA - EMILIANO LLONA,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,0,0,1,1
-7877125.35352845,-3957836.31417395,53,2019,13,REGION METROPOLITANA,MAIPU,URBANA,AMERICO VESPUCIO,EL DESCANSO,NULL,-33.469852,-70.761421,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131190124,AMERICO VESPUCIO - EL DESCANSO,3,3,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,0,1
-7876839.15111762,-3962595.13014971,54,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LIBERTAD,MONUMENTO,NULL,-33.505505,-70.75885,1,13119,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131191825,LIBERTAD - MONUMENTO,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
