X,Y,FID,DIR_GEOCOD,LAT,LNG,VAL_COM,Año,Cód_Regi,Región,Comuna,Zona,Calle_Uno,Calle_Dos,Número,Direccion,Fallecidos,Graves,Menos_Grav,Leves,Tipo_Usuar,FallecidoB,GraveBici,MgraveBici,LeveBici,Accidentes
-7865383.74099389,-3953073.1326985,1,"San Pablo & Teatinos, Santiago, Región Metropolitana, Chile",-33.4341516,-70.6559443,1,2020,13,REGION METROPOLITANA,SANTIAGO,URBANA,TEATINOS,SAN PABLO,0,TEATINOS-SAN PABLO,0,0,0,0,BICICLETA,0,0,0,0,1
-7928578.83630572,-3986325.34048118,2,"Las Torres & Policarpo Toro, Melipilla, Región Metropolitana, Chile",-33.6830722,-71.2236355,1,2020,13,REGION METROPOLITANA,MELIPILLA,URBANA,POLICARPO TORO,LAS TORRES,0,POLICARPO TORO-LAS TORRES,0,0,0,1,BICICLETA,0,0,0,1,1
-7865377.07295639,-3951050.41029814,3,"Av. Independencia 1075, Independencia, Región Metropolitana, Chile",-33.4189867,-70.6558844,1,2020,13,REGION METROPOLITANA,INDEPENDENCIA,URBANA,INDEPENDENCIA, ,1075,"INDEPENDENCIA  1075, INDEPENDENCIA",0,1,0,0,BICICLETA,0,1,0,0,1
-7928361.52952775,-3987319.38437581,4,"Correa 884, Melipilla, Región Metropolitana, Chile",-33.6905024,-71.2216834,1,2020,13,REGION METROPOLITANA,MELIPILLA,URBANA,CORREA,CORONEL BUERAS,0,CORREA-CORONEL BUERAS,0,0,0,1,BICICLETA,0,0,0,1,1
-7865343.63258136,-3960475.53127434,5,"Gaspar Banda & Florencia, San Miguel, Región Metropolitana, Chile",-33.4896268,-70.655584,1,2020,13,REGION METROPOLITANA,SAN MIGUEL,URBANA,GASPAR BANDA,FLORENCIA,0,GASPAR BANDA-FLORENCIA,0,0,0,0,BICICLETA,0,0,0,0,1
-7928258.81503359,-3986525.64875801,6,"Merced & Correa, Melipilla, Región Metropolitana, Chile",-33.6845695,-71.2207607,1,2020,13,REGION METROPOLITANA,MELIPILLA,URBANA,MERCED,CORREA,0,MERCED-CORREA,0,0,0,1,BICICLETA,0,0,0,1,1
-7865336.31889081,-3969483.4348772,7,"Los Mapuches & San Francisco, El Bosque, Región Metropolitana, Chile",-33.5570861,-70.6555183,1,2020,13,REGION METROPOLITANA,EL BOSQUE,URBANA,SAN FRANCISCO,LOS MAPUCHES,0,SAN FRANCISCO-LOS MAPUCHES,0,0,0,1,BICICLETA,0,0,0,1,1
-7928133.12419653,-3986999.09544662,8,"Libertad & Hurtado, Melipilla, Región Metropolitana, Chile",-33.6881084,-71.2196316,1,2020,13,REGION METROPOLITANA,MELIPILLA,URBANA,HURTADO,LIBERTAD,0,LIBERTAD-HURTADO,0,0,0,1,BICICLETA,0,0,0,1,1
-7865317.36118154,-3956170.22382225,9,"C. San Ignacio de Loyola 874, Santiago, Región Metropolitana, Chile",-33.4573662,-70.655348,1,2020,13,REGION METROPOLITANA,SANTIAGO,URBANA,SAN IGNACIO DE LOYOLA, ,874,"SAN IGNACIO DE LOYOLA  874, SANTIAGO",0,0,0,1,BICICLETA,0,0,0,0,1
-7928102.56699631,-3986535.86961717,10,"Merced & Hurtado, Melipilla, Región Metropolitana, Chile",-33.6846459,-71.2193571,1,2020,13,REGION METROPOLITANA,MELIPILLA,URBANA,MERCED,HURTADO,0,MERCED-HURTADO,0,0,0,1,BICICLETA,0,0,0,1,1
-7865271.59773888,-3955675.78578104,11,"Aldunate & Eyzaguirre, Santiago, Región Metropolitana, Chile",-33.4536605,-70.6549369,1,2020,13,REGION METROPOLITANA,SANTIAGO,URBANA,EYZAGUIRRE,ALDUNATE,0,EYZAGUIRRE-ALDUNATE,0,1,0,0,BICICLETA,0,1,0,0,1
-7927786.45303829,-3986559.92345508,12,"Silva Chávez & Merced, Melipilla, Región Metropolitana, Chile",-33.6848257,-71.2165174,1,2020,13,REGION METROPOLITANA,MELIPILLA,URBANA,MERCED,SILVA CHAVEZ,0,SILVA CHAVEZ-MERCED,0,0,0,0,BICICLETA,0,0,0,0,1
-7865239.71583671,-3952859.58501214,13,"Morandé & Presidente Balmaceda, Santiago, Región Metropolitana, Chile",-33.4325507,-70.6546505,1,2020,13,REGION METROPOLITANA,SANTIAGO,URBANA,MORANDE,PDTE BALMACEDA,0,PDTE BALMACEDA-MORANDE,0,1,0,0,BICICLETA,0,1,0,0,1
-7865237.02190504,-3964462.68623907,14,"Santa Elisa & Angamos, La Cisterna, Región Metropolitana, Chile",-33.5194927,-70.6546263,1,2020,13,REGION METROPOLITANA,LA CISTERNA,URBANA,STA ELISA,ANGAMOS,0,STA ELISA-ANGAMOS,0,0,0,1,BICICLETA,0,0,0,1,1
-7927694.79256958,-3987612.05384439,15,"Ortúzar & Riquelme, Melipilla, Región Metropolitana, Chile",-33.6926899,-71.215694,1,2020,13,REGION METROPOLITANA,MELIPILLA,URBANA,ORTUZAR,RIQUELME,0,RIQUELME-ORTUZAR,0,0,0,1,BICICLETA,0,0,0,1,1
-7865233.44854938,-3952031.94986812,16,"Av. Independencia 432, Independencia, Región Metropolitana, Chile",-33.4263459,-70.6545942,1,2020,13,REGION METROPOLITANA,INDEPENDENCIA,URBANA,INDEPENDENCIA, ,432,"INDEPENDENCIA  432, INDEPENDENCIA",0,0,0,1,BICICLETA,0,0,0,1,1
-7927385.15740595,-3987371.21475966,17,"Barros & Barrales, Melipilla, Región Metropolitana, Chile",-33.6908898,-71.2129125,1,2020,13,REGION METROPOLITANA,MELIPILLA,URBANA,BARROS,BARRALES,0,BARROS-BARRALES,0,0,0,1,BICICLETA,0,0,0,1,1
-7865198.87271553,-3952077.93990243,18,"Aníbal Pinto & Avenida Independencia, Santiago, Independencia, Región Metropolitana, Chile",-33.4266907,-70.6542836,1,2020,13,REGION METROPOLITANA,INDEPENDENCIA,URBANA,ANIBAL PINTO,INDEPENDENCIA,0,INDEPENDENCIA-ANIBAL PINTO,0,0,0,1,BICICLETA,0,0,0,1,1
-7926829.61748714,-3971146.30291771,19,"Avenida Anselmo Alarcon & Gral Baquedano, Melipilla, Región Metropolitana, Chile",-33.5695334,-71.207922,1,2020,13,REGION METROPOLITANA,MELIPILLA,RURAL,ANSELMO ALARCON,GRAL BAQUEDANO,0,GRAL BAQUEDANO-ANSELMO ALARCON,0,0,0,2,BICICLETA,0,0,0,2,1
-7865182.58667404,-3954515.84664224,20,"Avenida Libertador Bernardo O'Higgins & Nataniel Cox, Santiago, Región Metropolitana, Chile",-33.4449664,-70.6541373,1,2020,13,REGION METROPOLITANA,SANTIAGO,URBANA,LIBER BERNARDO O'HIGGINS,NATANIEL COX,0,NATANIEL COX-LIBER BERNARDO O'HIGGINS,0,0,0,2,BICICLETA,0,0,0,1,1
-7865127.51692194,-3956201.24615412,21,"Coquimbo & Lord Cochrane, Santiago, Región Metropolitana, Chile",-33.4575987,-70.6536426,1,2020,13,REGION METROPOLITANA,SANTIAGO,URBANA,COQUIMBO,LORD COCHRANE,0,LORD COCHRANE-COQUIMBO,0,0,0,1,BICICLETA,0,0,0,1,1
-7865024.35714982,-3950858.10540409,22,"San José & Profesor Zañartu, Recoleta, Independencia, Región Metropolitana, Chile",-33.4175448,-70.6527159,1,2020,13,REGION METROPOLITANA,INDEPENDENCIA,URBANA,PROFE ALBERTO ZANARTU,SAN JOSE,0,SAN JOSE-PROFE ALBERTO ZANARTU,0,1,0,0,BICICLETA,0,0,0,0,1
-7864958.61185856,-3967850.99190297,23,"San Francisco & Vicuña Mackenna, La Cisterna, San Ramón, Región Metropolitana, Chile",-33.5448648,-70.6521253,2,2020,13,REGION METROPOLITANA,SAN RAMON,URBANA,SAN FRANCISCO,VICUNA MACKENNA,0,VICUNA MACKENNA-SAN FRANCISCO,0,1,0,0,BICICLETA,0,1,0,0,1
-7864884.9072237,-3960685.00159566,24,"Gran Avenida Jose Miguel Carrera & Brigadier de La Cruz, San Miguel, Región Metropolitana, Chile",-33.4911961,-70.6514632,1,2020,13,REGION METROPOLITANA,SAN MIGUEL,URBANA,BRIGADIER DE LA CRUZ,GRAN AVDA JOSE MIGUEL CARRERA,0,GRAN AVDA JOSE MIGUEL CARRERA-BRIGADIER DE LA CRUZ,0,0,0,1,BICICLETA,0,0,0,1,1
-7864822.82434369,-3949116.7571748,25,"Av. Einstein 888, Recoleta, Región Metropolitana, Chile",-33.4044871,-70.6509055,1,2020,13,REGION METROPOLITANA,RECOLETA,URBANA,EINSTEIN, ,888,"EINSTEIN  888, RECOLETA",0,0,0,1,BICICLETA,0,0,0,1,1
-7864804.60134305,-3951353.95151335,26,"Santos Dumont 1053, Recoleta, Región Metropolitana, Chile",-33.4212626,-70.6507418,1,2020,13,REGION METROPOLITANA,INDEPENDENCIA,URBANA,SANTOS DUMONT, ,1053,"SANTOS DUMONT  1053, INDEPENDENCIA",0,1,0,0,BICICLETA,0,1,0,0,1
-7864801.60684874,-3951575.15390001,27,"La Paz 841, Recoleta, Región Metropolitana, Chile",-33.4229211,-70.6507149,2,2020,13,REGION METROPOLITANA,INDEPENDENCIA,URBANA,LA PAZ, ,841,"LA PAZ  841, INDEPENDENCIA",0,1,0,0,BICICLETA,0,1,0,0,1
-7864762.06616561,-3966434.3906194,28,"María Isabel 8378, La Cisterna, Región Metropolitana, Chile",-33.534258,-70.6503597,1,2020,13,REGION METROPOLITANA,LA CISTERNA,URBANA,MARIA ISABEL,IQUIQUE,0,MARIA ISABEL-IQUIQUE,0,1,0,0,BICICLETA,0,1,0,0,1
-7864745.73559632,-3960688.75242107,29,"Gran Avenida Jose Miguel Carrera 4004, San Miguel, Región Metropolitana, Chile",-33.4912242,-70.650213,1,2020,13,REGION METROPOLITANA,SAN MIGUEL,URBANA,GRAN AVDA JOSE MIGUEL CARRERA, ,4004,"GRAN AVDA JOSE MIGUEL CARRERA  4004, SAN MIGUEL",1,0,0,0,BICICLETA,1,0,0,0,1
-7864643.43298428,-3968619.23838344,30,"Aníbal Zañartu & Esperanza, Santiago, San Ramón, Región Metropolitana, Chile",-33.5506165,-70.649294,1,2020,13,REGION METROPOLITANA,SAN RAMON,URBANA,ANIBAL ZAÑARTU,ESPERANZA,0,ESPERANZA-ANIBAL ZAÑARTU,0,0,0,1,BICICLETA,0,0,0,1,1
