X,Y,FID,Año,Claseaccid,Cód_Comun,Comuna,Cód_Regi,Región,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,COd_Calle_,Calle_Dos,Número,Intersecci,Fallecidos,Graves,Menos_Grav,Leves,Tipo_Usuar,FallecidoB,GraveBici,MgraveBici,LeveBici,Accidentes
-7890958.69273547,-3934409.6622368,1,2017,1,13302,LAMPA,13,REGION METROPOLITANA,2,RURAL,1,TRAMO DE VIA RECTA,133020118,ISABEL RIQUELME,133020089,EL PELLIN,0,EL PELLIN - ISABEL RIQUELME,0,0,0,1,BICICLETA,0,0,0,0,1
-7890602.59279309,-3930698.40941503,2,2017,1,13302,LAMPA,13,REGION METROPOLITANA,2,RURAL,1,TRAMO DE VIA RECTA,133020129,JUAN DE DIOS MARTICORENA,0, ,20,JUAN DE DIOS MARTICORENA  20,0,0,1,0,BICICLETA,0,0,1,0,1
-7890441.61368218,-3932919.16508875,3,2017,1,13302,LAMPA,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,133020026,BALMACEDA,133020195,MIRAFLORES,0,BALMACEDA - MIRAFLORES,0,0,0,1,BICICLETA,0,0,0,0,1
-7890132.64640331,-3933101.21229341,4,2017,1,13302,LAMPA,13,REGION METROPOLITANA,2,RURAL,1,TRAMO DE VIA RECTA,133020027,BAQUEDANO,0, ,820,BAQUEDANO  820,0,0,0,1,BICICLETA,0,0,0,0,1
-7890124.33079425,-3933114.55530382,5,2017,1,13302,LAMPA,13,REGION METROPOLITANA,2,RURAL,1,TRAMO DE VIA RECTA,133020027,BAQUEDANO,0, ,791,BAQUEDANO  791,0,0,0,1,BICICLETA,0,0,0,0,1
-7890060.14403926,-3934390.27147732,6,2017,1,13302,LAMPA,13,REGION METROPOLITANA,1,URBANA,2,TRAMO DE VIA CURVA HORIZONTAL,133020040,CAMINO CHICAUMA,0, ,978,CAMINO CHICAUMA  978,0,2,0,0,BICICLETA,0,2,0,0,1
-7889743.25078751,-3932550.7518867,7,2017,1,13302,LAMPA,13,REGION METROPOLITANA,2,RURAL,14,CRUCE CON SEÑAL PARE,133020026,BALMACEDA,133020028,BARROS LUCO,0,BALMACEDA - BARROS LUCO,0,0,0,1,BICICLETA,0,0,0,0,1
-7889533.68078065,-3933483.97189401,8,2017,1,13302,LAMPA,13,REGION METROPOLITANA,2,RURAL,1,TRAMO DE VIA RECTA,133020028,BARROS LUCO,133020022,ARTURO PRAT,0,ARTURO PRAT - BARROS LUCO,0,1,0,0,BICICLETA,0,1,0,0,1
-7885999.55414014,-3955110.11069364,9,2017,1,13124,PUDAHUEL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131240699,LAS TORCAZAS,0, ,928,LAS TORCAZAS  928,0,1,0,0,BICICLETA,0,1,0,0,1
-7882408.78809364,-3926346.79202779,10,2017,1,13302,LAMPA,13,REGION METROPOLITANA,2,RURAL,1,TRAMO DE VIA RECTA,133020102,FRANCIA,133020098,ERRAZURIZ,0,ERRAZURIZ - FRANCIA,0,0,0,0,BICICLETA,0,0,0,0,1
-7882167.30315906,-3946481.73657816,11,2017,1,13124,PUDAHUEL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131240157,CAMINO RENCA LAMPA,131240159,CAMPO ALEGRE,0,CAMINO RENCA LAMPA - CAMPO ALEGRE,0,0,0,1,BICICLETA,0,0,0,0,1
-7882063.0411411,-3971296.20959956,12,2017,1,13604,PADRE HURTADO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,136040028,EL MANZANO,136040098,PRIMERA TRANSVERSAL,0,EL MANZANO - PRIMERA TRANSVERSAL,0,0,0,1,BICICLETA,0,0,0,0,1
-7881511.77471617,-3970794.85916734,13,2017,1,13604,PADRE HURTADO,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,136040098,PRIMERA TRANSVERSAL,136040090,MARIANO LATORRE,0,MARIANO LATORRE - PRIMERA TRANSVERSAL,0,0,0,1,BICICLETA,0,0,0,0,1
-7881159.68316104,-3963532.25507037,14,2017,1,13119,MAIPU,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131190869,EL CONQUISTADOR,0, ,2150,EL CONQUISTADOR  2150,0,0,0,1,BICICLETA,0,0,0,0,1
