X,Y,FID,Año,ClaseAccid,Cód_Comun,Comuna,Cód_Regi,Región,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Fallecidos,Graves,Menos_Grav,Leves,Tipo_Usuar,FallecidoB,GraveBici,MgraveBici,LeveBici,Accidentes
-7890735.38579233,-3933647.90331933,1,2018,1,13302,LAMPA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,133020022,ARTURO PRAT, , ,250,0,0,0,1,BICICLETA,0,0,0,0,1
-7889760.59440731,-3946533.50889241,2,2018,1,13124,PUDAHUEL,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131240151,CAMINO LUIS CRUZ MARTINEZ,131241215,SAN FRANCISCO,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7889393.54065031,-3933061.16988812,3,2018,1,13302,LAMPA,13,REGION METROPOLITANA,1,URBANA,16,CRUCE SIN SEÑALIZACION,133020209,PEDRO AGUIRRE CERDA,133020028,BARROS LUCO,0,1,0,0,0,BICICLETA,1,0,0,0,1
-7887750.60968154,-3934123.1578072,4,2018,1,13302,LAMPA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,133020149,LAS HIGUERAS,133020048,CAMINO LO ECHEVERS,0,1,0,0,0,BICICLETA,1,0,0,0,1
-7885848.91655642,-3946519.23052054,5,2018,1,13124,PUDAHUEL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131241255,SIMON BOLIVAR,131240132,CAMINO A LAMPA,0,0,1,0,0,BICICLETA,0,1,0,0,1
-7884160.07742964,-3963481.22602349,6,2018,1,13119,MAIPU,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131190394,CAMINO A RINCONADA,131191728,LAS CATALPAS,0,0,0,1,0,BICICLETA,0,0,1,0,1
-7883945.23081241,-3972051.03972721,7,2018,1,13604,PADRE HURTADO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,136040019,CAMINO A MELIPILLA, , ,3295,0,0,0,1,BICICLETA,0,0,0,1,1
-7883164.51382763,-3971146.67700416,8,2018,1,13604,PADRE HURTADO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,136040114,SIN NOMBRE, , ,8,0,0,0,1,BICICLETA,0,0,0,1,1
-7882188.94320617,-3971170.43151811,9,2018,1,13604,PADRE HURTADO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,136040028,EL MANZANO, , ,567,0,0,0,1,BICICLETA,0,0,0,0,1
-7882059.81259684,-3971293.74735703,10,2018,1,13604,PADRE HURTADO,13,REGION METROPOLITANA,1,URBANA,12,CRUCE CON SEMAFORO APAGADO,136040098,PRIMERA TRANSVERSAL,136040028,EL MANZANO,0,0,0,1,0,BICICLETA,0,0,1,0,1
-7881633.34762761,-3970884.65914316,11,2018,1,13604,PADRE HURTADO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,136040098,PRIMERA TRANSVERSAL,136040114,SIN NOMBRE,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7881105.24796329,-3963146.6457519,12,2018,1,13119,MAIPU,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131191499,JOSE MANUEL BORGONO,131190217,ARSENALES DE GUERRA,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7880989.69833185,-3970233.64827804,13,2018,1,13604,PADRE HURTADO,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,136040098,PRIMERA TRANSVERSAL,136040120,TERCERA AVENIDA,0,0,0,0,0,BICICLETA,0,0,0,0,1
-7880965.09672438,-3962500.87715188,14,2018,1,13119,MAIPU,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131191824,LIBER BERNARDO O`HIGGINS,131191627,LA GALAXIA,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7880924.24247126,-3969069.72225123,15,2018,1,13119,MAIPU,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131190392,CAMINO A MELIPILLA,131192467,PARQUE CENTRAL PONIENTE,0,0,0,0,2,BICICLETA,0,0,0,1,1
-7880808.80415931,-3963661.07026144,16,2018,1,13119,MAIPU,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131190053,AGUA SANTA,131191627,LA GALAXIA,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7880757.81983253,-3942797.64128007,17,2018,1,13125,QUILICURA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131250072,CAMINO LO ECHEVERS, , ,4900,0,0,0,1,BICICLETA,0,0,0,1,1
