X,Y,FID,ICOUNT,Comuna,Año,Clase_Acci,Cód_Comun,Cód_Regi,Región,Cód__Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Intersecci,Direcci_1,Tipo_Cal_1,Fallecid_1,Graves_1,Menos_Gr_1,Leves_1,Tipo,Servicio
-7865799.48972108,-3951680.91508353,1,1,INDEPENDENCIA,2016,1,13108,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131080140,ESCANILLA,131080295,RETIRO, ,ESCANILLA - RETIRO,ESCANILLA @ RETIRO,ASFALTO,0,1,0,0,BICICLETA,PARTICULAR
-7865744.41616802,-3976354.73555093,2,1,LA PINTANA,2016,1,13112,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131120082,CAMINO EL MARISCAL, , ,1590,- CAMINO EL MARISCAL,1590 CAMINO EL MARISCAL,CONCRETO,0,1,0,0,BICICLETA,PARTICULAR
-7865694.1121543,-3952731.11000116,3,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131010470,PDTE BALMACEDA,131010585,SAN MARTIN, ,PDTE BALMACEDA - SAN MARTIN,PDTE BALMACEDA @ SAN MARTIN,CONCRETO,0,0,0,0,BICICLETA,PARTICULAR
-7865679.12727922,-3950210.79941194,4,1,INDEPENDENCIA,2016,1,13108,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131080174,INDEPENDENCIA,131080296,RIO JACHAL, ,INDEPENDENCIA - RIO JACHAL,INDEPENDENCIA @ RIO JACHAL,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-7865673.24649587,-3953293.53221858,5,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010560,ROSAS,131010585,SAN MARTIN, ,ROSAS - SAN MARTIN,ROSAS @ SAN MARTIN,CONCRETO,0,0,0,0,BICICLETA,PARTICULAR
-7865656.41515373,-3953448.68912581,6,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131010585,SAN MARTIN,131010635,STO DOMINGO, ,SAN MARTIN - STO DOMINGO,SAN MARTIN @ STO DOMINGO,CONCRETO,0,1,0,0,BICICLETA,PARTICULAR
-7865645.35296997,-3965455.96768734,7,1,LA CISTERNA,2016,1,13109,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131090128,EL PARRON, , ,290,- EL PARRON,290 EL PARRON,CONCRETO,0,1,0,0,BICICLETA,PARTICULAR
-7865642.11354354,-3950253.37740282,8,1,INDEPENDENCIA,2016,1,13108,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131080174,INDEPENDENCIA, , ,1535,- INDEPENDENCIA,1535 INDEPENDENCIA,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-7865629.6234613,-3970827.59901745,9,1,EL BOSQUE,2016,1,13105,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131050778,SAN FRANCISCO, , ,1986,- SAN FRANCISCO,1986 SAN FRANCISCO,CONCRETO,0,1,0,0,BICICLETA,PARTICULAR
-7865552.04351305,-3949058.97465231,10,1,RECOLETA,2016,1,13127,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131270241,EL GUANACO,131270788,SAN GERARDO, ,EL GUANACO - SAN GERARDO,EL GUANACO @ SAN GERARDO,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
